station_id,lat,lon,page,details
ISRO0022,11.4,92.64,1,सॉफ्टवेयर User  Order  Processing  Software  Welcome  Bhargav  Gannavarapu  Logout ●    DashBoard ●    Order  ●    Statu
ISRO0276,11.4,92.64,1,"Start  Date End  Date Temporal  Resolution Order  Data 1  ISTRAC,  Dolly  gunj,  port  blair ANDAMAN  &  NICOBAR 15F016 "
ISRO0277,11.4,92.64,1,"11.40 92.64  2007-11-26 2019-02-20 HOURLY 2  INS  Utkroash,Port  Blair ANDAMAN  &  NICOBAR 15F114 ISRO0276 11.40 92.60  "
ISRO0555,11.63,92.74,2,4  Pondicherry  University-Port  Blair  (NON-ISRO) ANDAMAN  &  NICOBAR 15F22B ISRO0555 11.63 92.74  2011-02-16 2016-03-0
ISRO1285,11.63,92.74,2,4  Pondicherry  University-Port  Blair  (NON-ISRO) ANDAMAN  &  NICOBAR 15F22B ISRO0555 11.63 92.74  2011-02-16 2016-03-0
ISRO1286,11.63,92.74,2,4  Pondicherry  University-Port  Blair  (NON-ISRO) ANDAMAN  &  NICOBAR 15F22B ISRO0555 11.63 92.74  2011-02-16 2016-03-0
ISRO1287,9.18,92.82,2,92.74  2011-02-16 2016-03-08 HOURLY 5  Car  Nicobar  ANDAMAN  &  NICOBAR 15F505 ISRO1285 9.18  92.82  NA  NA  HOURLY 6  
ISRO1288,9.18,92.82,2,9.18  92.82  NA  NA  HOURLY 6  Campbellbay  ANDAMAN  &  NICOBAR 15F506 ISRO1286 7.01  93.94  2010-11-28 2016-02-26 HOURL
ISRO1289,7.01,93.94,2,7.01  93.94  2010-11-28 2016-02-26 HOURLY 7  Teressa  ANDAMAN  &  NICOBAR 15F507 ISRO1287 8.30  93.13  2010-12-23 2016-0
ISRO1290,12.04,92.98,3,10  Havelock  ANDAMAN  &  NICOBAR 15F50A ISRO1290 12.04 92.98  2015-11-04 2019-03-14 HOURLY 11  Neil  ANDAMAN  &  NICOBA
ISRO1291,12.04,92.98,3,10  Havelock  ANDAMAN  &  NICOBAR 15F50A ISRO1290 12.04 92.98  2015-11-04 2019-03-14 HOURLY 11  Neil  ANDAMAN  &  NICOBA
ISRO1292,12.04,92.98,3,15F50A ISRO1290 12.04 92.98  2015-11-04 2019-03-14 HOURLY 11  Neil  ANDAMAN  &  NICOBAR 15F50B ISRO1291 11.84 93.02  201
ISRO1293,11.84,93.02,3,15F50B ISRO1291 11.84 93.02  2015-12-16 2020-07-17 HOURLY 12  Rangat  ANDAMAN  &  NICOBAR 15F50C ISRO1292 12.51 92.30  2
ISRO1294,12.51,92.3,3,15F50C ISRO1292 12.51 92.30  2011-01-05 2022-06-18 HOURLY 13  Mayabunder  ANDAMAN  &  NICOBAR 15F50D ISRO1293 12.91 92.9
ISRO0001,12.91,92.9,3,15F50D ISRO1293 12.91 92.90  2016-01-05 2020-09-13 HOURLY 14  Diglipur  ANDAMAN  &  NICOBAR 15F50E ISRO1294 13.26 93.00 
ISRO0002,13.69,80.23,4,"16  METSITE,  SHAR  ANDHRA  PRADESH 15F002 ISRO0002 13.69 80.23  2006-01-07 2019-01-31 HOURLY 17  LPSF,  SHAR  ANDHRA  P"
ISRO0003,13.69,80.23,4,"16  METSITE,  SHAR  ANDHRA  PRADESH 15F002 ISRO0002 13.69 80.23  2006-01-07 2019-01-31 HOURLY 17  LPSF,  SHAR  ANDHRA  P"
ISRO0004,13.69,80.23,4,"ISRO0002 13.69 80.23  2006-01-07 2019-01-31 HOURLY 17  LPSF,  SHAR  ANDHRA  PRADESH 15F003 ISRO0003 13.77 80.24  2006-07"
ISRO0005,13.77,80.24,4,ISRO0003 13.77 80.24  2006-07-07 2018-06-13 HOURLY 18  PULICAT  NAGAR  SHAR-OLD ANDHRA  PRADESH 15F004 ISRO0004 13.70 80
ISRO0006,13.7,80.05,4,ISRO0004 13.70 80.05  2006-07-07 2018-05-10 HOURLY 19  NRSA  Shadnagar  ANDHRA  PRADESH 15F005 ISRO0005 17.02 78.18  200
ISRO0007,17.02,78.18,4,17.02 78.18  2006-01-07 2017-07-01 HOURLY 20  TIFR  Balloon  facility  Hyderabad ANDHRA  PRADESH 15F006 ISRO0006 17.47 7
ISRO0008,17.47,78.58,4,ISRO0006 17.47 78.58  2006-01-07 2017-09-03 HOURLY 21  SKDR  University  Anantapur ANDHRA  PRADESH 15F007 ISRO0007 14.62
