region_name,gagan_station_id,station_id,lat,lon,timestamp,rain_mm_day,tier,L_score,spatial_scale,isolation_label,spatial_detail,iwv_check_pass,iwv_detail,cape_check_pass,cape_detail,final_label,n_neighbors
Guwahati,13,ISRO1069_15F42D(TRA. Dikom),27.466667,95.08889,2013-01-03,5.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1112_15F458(President. Gharowa. Lumding),25.751112,93.178055,2013-01-03,20.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1106_15F452(Rangiya Degree College. Rangiya),26.426945,91.61389,2013-01-03,12.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO0062_15F03E(LAKHIMPUR),27.2041666,94.1069444,2013-01-03,4.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Bagdogra,11,ISRO0066_15F042(GOSSAIGAON),26.3908333,89.9405555,2013-01-03,16.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1102_15F44E(North Guwhathi College. North Guwhathi),26.202223,91.715836,2013-01-03,0.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1104_15F450(Dhemaji Degree College. Dhemaji),27.475555,94.55167,2013-01-03,8.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Lengpui,12,ISRO0069_15F045(ARUNACHAL),24.8541666,92.7388888,2013-01-03,5.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1074_15F432(Salonah),26.445833,92.975,2013-01-03,7.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO0076_15F04C(Dhubri),26.023333,89.96917,2013-01-03,14.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1068_15F42C(TRA. Jorhat),26.730833,94.22667,2013-01-03,0.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1071_15F42F(Ananda),27.44861,94.22945,2013-01-03,16.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Bagdogra,11,ISRO0066_15F042(GOSSAIGAON),26.3908333,89.9405555,2013-01-04,11.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
Guwahati,13,ISRO1068_15F42C(TRA. Jorhat),26.730833,94.22667,2013-01-04,89.0,T2,0.9326,COARSE,CLOUDBURST_CANDIDATE,L=0.933 | R_core=89.0mm | R_bg=6.0mm (nearest_proxy (431km)) | scale=COARSE | gradient: [ZC:54km=49.0mm] [ZC:80km=88.0mm] [ZC:89km=116.0mm] [ZC:118km=41.0mm] [ZC:128km=21.0mm] [ZC:151km=93.0mm] [ZC:256km=81.0mm] [ZC:257km=0.0mm] [ZC:262km=16.0mm] [ZC:289km=0.0mm] [ZC:428km=11.0mm] [ZC:431km=6.0mm],False,insufficient_pre_event_iwv,False,offline_verification,CANDIDATE_CLOUDBURST,12
Guwahati,13,ISRO1112_15F458(President. Gharowa. Lumding),25.751112,93.178055,2013-01-04,93.0,T2,0.8817,COARSE,CLOUDBURST_CANDIDATE,L=0.882 | R_core=93.0mm | R_bg=11.0mm (nearest_proxy (331km)) | scale=COARSE | gradient: [ZC:80km=21.0mm] [ZC:109km=81.0mm] [ZC:151km=89.0mm] [ZC:155km=0.0mm] [ZC:173km=16.0mm] [ZC:186km=49.0mm] [ZC:199km=0.0mm] [ZC:216km=88.0mm] [ZC:235km=116.0mm] [ZC:269km=41.0mm] [ZC:322km=6.0mm] [ZC:331km=11.0mm],False,insufficient_pre_event_iwv,False,offline_verification,CANDIDATE_CLOUDBURST,12
Guwahati,13,ISRO1104_15F450(Dhemaji Degree College. Dhemaji),27.475555,94.55167,2013-01-04,116.0,T1,0.9483,COARSE,CLOUDBURST_CANDIDATE,L=0.948 | R_core=116.0mm | R_bg=6.0mm (nearest_proxy (483km)) | scale=COARSE | gradient: [ZC:32km=88.0mm] [ZC:53km=41.0mm] [ZC:53km=49.0mm] [ZC:89km=89.0mm] [ZC:194km=21.0mm] [ZC:235km=93.0mm] [ZC:314km=16.0mm] [ZC:315km=0.0mm] [ZC:339km=0.0mm] [ZC:343km=81.0mm] [ZC:473km=11.0mm] [ZC:483km=6.0mm],False,insufficient_pre_event_iwv,False,offline_verification,CANDIDATE_CLOUDBURST,12
Guwahati,13,ISRO1106_15F452(Rangiya Degree College. Rangiya),26.426945,91.61389,2013-01-04,16.0,NORMAL,0.0,N/A,NORMAL,,False,,False,,NORMAL,0
