epoch,lr,train_loss,val_loss,val_pod,val_far,val_csi,val_pr_auc,val_roc_auc,optimal_threshold
1,0.002,0.001218948847271915,0.001109837771577057,0.4554,0.3851,0.3544,0.6173,0.9945,0.31
2,0.001994549285891432,0.0010828498558549805,0.001105997444701969,0.5383,0.3799,0.4048,0.665,0.996,0.28
3,0.0019782568627301367,0.0010460580588240423,0.0009979997496046054,0.7478,0.384,0.51,0.7305,0.9968,0.29000000000000004
4,0.001951301233713678,0.0010079573127470746,0.0009768485873858986,0.7415,0.3878,0.5045,0.7233,0.9963,0.33
5,0.001913977730354388,0.0009912130673187915,0.0009939450935252893,0.7469,0.3901,0.5054,0.7394,0.9968,0.28
6,0.001866695276765517,0.000972023242773164,0.0010083080045992828,0.7353,0.3816,0.5058,0.7366,0.9964,0.26
7,0.001809971909403073,0.0009601412053282486,0.0009820369107486659,0.6061,0.3857,0.439,0.6895,0.9957,0.32
8,0.0017444291013500076,0.0009463971729777563,0.0009270994382062738,0.7727,0.362,0.5372,0.7654,0.997,0.28
9,0.0016707849533270642,0.0009360154444965831,0.0009258514150020727,0.7834,0.3721,0.535,0.7598,0.9969,0.30000000000000004
10,0.001589846326031011,0.0009335128612372462,0.0009679332915493547,0.754,0.3396,0.5434,0.7711,0.997,0.26
11,0.0015025000000000001,0.0009099589100030249,0.0009650427612152401,0.7906,0.3823,0.5308,0.7614,0.9971,0.25
12,0.0014097029598604215,0.0009043951340322152,0.0009987010643026225,0.7816,0.3811,0.5277,0.7531,0.9968,0.23
13,0.0013124719094030728,0.0008892138006201671,0.0009368338145208038,0.8102,0.3837,0.5385,0.7691,0.9971,0.25
14,0.0012118721323636705,0.0008857846063980406,0.0009050242934725307,0.7897,0.3721,0.5379,0.7579,0.9969,0.30000000000000004
15,0.0011090058209513153,0.000872712621572683,0.0009233712838218844,0.6996,0.325,0.5233,0.757,0.9969,0.30000000000000004
16,0.0010050000000000003,0.0008631376841476528,0.0008988368754752968,0.7522,0.3375,0.5438,0.7658,0.9971,0.31
17,0.000900994179048685,0.0008478001674571075,0.0009275204612819943,0.6854,0.3371,0.5083,0.7389,0.9965,0.33
18,0.0007981278676363294,0.0008373821602307909,0.0009114087409483559,0.7299,0.322,0.542,0.7679,0.997,0.29000000000000004
19,0.0006975280905969274,0.000832213179653115,0.000910716227621524,0.7326,0.3201,0.5447,0.7732,0.9973,0.31
20,0.0006002970401395789,0.0008233259485846223,0.0009378492734182445,0.7103,0.3515,0.5129,0.7465,0.9965,0.29000000000000004
21,0.0005075000000000002,0.0008157131167629808,0.000976976420201441,0.7487,0.3632,0.5247,0.7559,0.9962,0.26
22,0.0004201536739689894,0.0008092494418167998,0.0009068269448254778,0.7469,0.3375,0.541,0.7677,0.997,0.29000000000000004
23,0.00033921504667293643,0.0007978421937315848,0.0009100220358535796,0.7816,0.3475,0.5519,0.7743,0.9971,0.27
24,0.0002655708986499929,0.0007958116252556493,0.0009188500385978335,0.7692,0.3526,0.5421,0.7649,0.9971,0.29000000000000004
25,0.0002000280905969274,0.00078671579669517,0.0009320730224876075,0.7629,0.3481,0.5421,0.7644,0.997,0.28
26,0.0001433047232344835,0.0007884767427604986,0.0009352297246114807,0.7291,0.3339,0.5339,0.7588,0.9968,0.31
27,9.602226964561203e-05,0.0007783981317762867,0.0009183633205040497,0.7219,0.3216,0.5378,0.7643,0.9969,0.30000000000000004
28,5.869876628632223e-05,0.0007743608093034426,0.0009100350953064758,0.7442,0.3315,0.5436,0.7738,0.9971,0.28
29,3.174313726986334e-05,0.0007745358027626373,0.0009151738378203309,0.7674,0.3487,0.5439,0.7671,0.997,0.28
30,1.5450714108567966e-05,0.0007696047016275051,0.000904753750848057,0.7727,0.3466,0.548,0.7729,0.9971,0.28
