MSGIO_L2C_CTR || Represents the radiative temperature (in Kelvin) of the uppermost cloud layer.
MSGIO_L2C_CRP || Provides instantaneous rain rates (mm/h) intensity
MSGIO_L2C_PCP || Identifies precipitating clouds and give probability of precipitation occurrence by analysing cloud physical properties retrieved from satellite data.
MSGIO_L2C_RDT || Identifies and forecasts rapidly developing thunderstorms. Outputs real-time predictions of storm intensity and evolution, based on geostationary satellite data.
E06SCT_L4_SM_NP_DLY || EOS-06 Scatterometer high resolution Sea Ice Melt product over North Pole(Greenland) generated using L4 product
E06SCT_L3_GS_GLB25 || Global Sea Ice
E06SCT_L3_GS_GLB12 || Global Sea Ice
E06OCM_L2C_LAC_SR || Land Surface Reflectance (LSR)  provides bottom of atmosphere (BOA)  LSR derived from RRS band data.
E06OCM_L3_LAC_CQ || Daily composite of coastal water quality for coastal regions of Indian subcontinent
E08GNSS_R_L2_OSW || Ocean Surface Wind Speed Product
E06SCT_L4_AWV12km || Analyzed Winds(12.5 km) are computed using optimal interpolation. The wind derived products and fluxes are computed based on COREv3.0 bulk algorithms.
E06SCT_L4_SI_NP || EOS-06 Scatterometer high resolution Sea Ice Extent product over North Pole generated using L4 product
E06OCM_L2C_LAC_RT || Red Tide Index based on Deducted Spectral Ratio Method(unitless)
E06OCM_L3C_LAC_PC || 8-day mosaic of Particulate Organic Carbon(POC) product is derived from EOS-06 satelllite Ocean Colour Monitor(OCM) sensor Remote sensing reflectance(Rrs) data using bands corresponding to blue, green and red channels. The POC is important to understand the organic carbon fluxes from phtoplankton, zooplankton and their detrital materials in the surface water and the water column and overall linked to ocean and biogeochemistry.
E06OCM_L2C_LAC_WM || Scenewise Surface Water Extent
E06OCM_L3C_LAC_FL || 8-day composite of Normalized Fluorescence Line Height (nFLH) for coastal regions of Indian subcontinent.
E06OCM_L2C_LAC_EV || Scenewise Enhanced Vegetation Index
MSGIO_L2C_CIP || The CIP(Convective Initiation Probability) provides a pixel based nowcast of probability of where a new convection is likely to start. It provides CI probability at three lead time 30,60 and 90 min, where probability percentage indicating greater confidence in occurance of convection activity which could lead to severe weather event.
MSGIO_L2C_CTT || Cloud Type Product of the NWC/GEO. Information on the major cloud types and on snow/sea ice occurrence
MSGIO_L2C_CRR || Convective Rainfall Rate Product of the NWC/GEO. Estimation of the precipitation rate associated to convective clouds
MSGIO_L2C_CMI || Cloud Microphysics Product of the NWC/GEO. Information on cloud microphysics, as cloud thermodynamical phase, drop effective radius, cloud optical thickness and liquid water/ice path
E06OCM_L2C_GAC_PC || Particulate Organic Carbon (POC) product is derived from EOS-06 satelllite Ocean Colour Monitor(OCM) sensor Remote sensing reflectance(Rrs) data using bands corresponding to blue, green and red channels. The POC is important to understand the organic carbon fluxes from phtoplankton, zooplankton and their detrital materials in the surface water and the water column and overall linked to ocean and biogeochemistry.
E06OCM_L2C_LAC_PS || Scenewise Phytoplankton size class
E06OCM_L2C_GAC_PR || Instantaneous_Photosynthetically_Active_Radiation
E06OCM_L2C_GAC_OC || Inherent Optical  Properties
E06OCM_L2C_GAC_GA || Coloured Dissolved Organic Matter (CDOM) Absorption Coefficient at 412nm (units m-1)
E06OCM_L2C_LAC_OC || Inherent Optical  Properties
E06OCM_L2C_LAC_PR || Instantaneous_Photosynthetically_Active_Radiation
E06OCM_L2C_LAC_GA || Coloured Dissolved Organic Matter (CDOM) Absorption Coefficient at 412nm (units m-1)
3SIMG_L2P_AMV || INSAT-3S Infrared, Visible, Water Vapour channel derived Wind
E06OCM_L2C_LAC_AD || Scenewise Aerosol Optical Depth over Land
3SIMG_L3B_SWR_DLY || Daily SWR from INSAT-3S
3SIMG_L3B_IMC_DLY || Daily Rainfall derived using IMC algorithm from INSAT-3DS IMAGER
3SIMG_L3B_LST_DLY || Daily Land surface temperature (LST) from INSAT-3DS IMAGER
3RIMG_L3C_PET_DLY || Evapotranspiration (ET) is one of the important processes in the terrestrial water cycle. About 65% of rainwater is lost to the atmosphere due to the combined processes of evaporation and transpiration. In a given climate, reference evapotranspiration (ET0) is defined as the maximum evaporative demand of the atmosphere from a well-watered surface independent of crop type, crop development, and management practice. 
3SIMG_L2P_WV_MERGED || This product is merged water vapour wind product using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3DR and INSAT-3S in staggering mode
3SIMG_L2P_IRW_MERGED || Product is a merged wind product derived using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3DR and INSAT-3S in staggering mode
3SSND_L2B_SB1 || Sounder Level2 data for B1 sector
3SSND_L2B_SA2 || Sounder Level2 data for A2 sector
3SSND_L2B_SA1 || Sounder Level2 data for A1 sector
3SSND_L1B_SB1 || Sounder Level1 data for B1 sector
3SSND_L1B_SA2 || Sounder Level1 data for A2 sector
3SSND_L1B_SA1 || Sounder Level1 data for A1 sector
3SIMG_L3G_IMR_WKL || Weekly IMR product from INSAT3S
3SIMG_L3G_IMR_DLY || Daily IMR Rain  from INSAT-3S
3SIMG_L3G_GPI_WKL || Weekly GPI product from INSAT3S
3SIMG_L3G_GPI_DLY || Daily GPI from INSAT-3S
3SIMG_L3C_PET_DLY || Evapotranspiration (ET) is one of the important processes in the terrestrial water cycle. About 65% of rainwater is lost to the atmosphere due to the combined processes of evaporation and transpiration. In a given climate, reference evapotranspiration (ET0) is defined as the maximum evaporative demand of the atmosphere from a well-watered surface independent of crop type, crop development, and management practice. 
3SIMG_L3C_INS_DLY || INSAT-3S derived INSOLATION
3SIMG_L3B_UTH_WKL || Weekly UTH product from INSAT3S
3SIMG_L3B_UTH_DLY || Daily UTH from INSAT-3S
3SIMG_L3B_SST_WKL || Weekly SST product from INSAT3S
3SIMG_L3B_SST_DLY || Daily SST from INSAT-3S
3SIMG_L3B_OLR_WKL || Weekly OLR product from INSAT3S
3SIMG_L3B_OLR_DLY || Daily OLR from INSAT-3S
3SIMG_L3B_HEM_WKL || Weekly HEM product from INSAT3S
3SIMG_L3B_HEM_DLY || Daily HEM  from INSAT-3S
3SIMG_L2P_WVW || Water vapour derived wind vectors
3SIMG_L2P_VSW || Winds derived using Visible band data of IMAGER
3SIMG_L2P_SMK || This is an Active Smoke product which shows that the pixel is to be qualified as smoke.Inputs to the algorithm will include geo-referenced, corrected  Albedo, Digital counts for Visible channel and geo-referenced Brightness temperature for MIR,TIR1, TIR2. 
3SIMG_L2P_MRW || Winds derived using MIR band data of IMAGER
3SIMG_L2P_IRW || INSAT-3S Infrared channel derived Wind
3SIMG_L2P_FIR || This is an Active FIRE product which shows that the pixel is warm enough to be qualified as fire. This is derived using MIR (T3) and TIR1 (T5) channel BT from INSAT-3S imager. 
3SIMG_L2G_WDP || Wind Derived Product, Upper level divergence, lower level convergence, wind shear, mid-level wind shear, 24 hour wind shear tendency, vorticity(200,500,700,850mb) using INSAT-3S AMVs.
3SIMG_L2G_IMR || Indian Multi Spectral rainfall from IMAGER
